Site Address,latitude,longitude,Applicant,Charging_bays,Charger_capacities,ObjId,Postcodes,ZoneType,Round,Zone (km)
"235 New South Head Rd, Edgecliff NSW 2027, Australia",-33.8793654,151.2365664,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,36,2027,Metro,2,5
"238-262 Bunnerong Rd, Hillsdale NSW 2036, Australia",-33.9518585,151.2310486,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,37,2036,Metro,2,5
"240 Hillsborough Rd, Warners Bay NSW 2282, Australia",-32.9638259,151.6620598,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,38,2282,Metro,2,5
"245/259 Pittwater Rd, Manly NSW 2095, Australia",-33.787031,151.2812746,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,39,2095,Metro,2,5
"25 Oaks Ave, Dee Why NSW 2099, Australia",-33.7540141,151.2873061,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,40,2099,Metro,2,5
"26 Bridge Rd, Belmore NSW 2192, Australia",-33.9179842,151.0872319,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,41,2192,Metro,2,5
"273 Fowler Rd, Illawong NSW 2234, Australia",-33.9971466,151.042368,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,42,2234,Metro,2,5
"328 North Rocks Rd, North Rocks NSW 2151, Australia",-33.7689262,151.02792,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,43,2151,Metro,2,5
"41 Church St, Mudgee NSW 2850, Australia",-32.592332,149.5889639,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,44,2850,Regional,2,100
"42 Railway Pde, Burwood NSW 2134, Australia",-33.8776546,151.1022914,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,45,2134,Metro,2,5
44 Hume St Crows Nest NSW 2065 Australia,-33.8244404,151.1998787,Fast Cities Australia (Evie Networks),8,Each charging station will be equipped with 4 Tritium PKM400 modular ultra-fast chargers. All 8 bays will charge up to 400kW.,46,2065,Metro,2,5
47 Princes Hwy Wolli Creek NSW 2205 Australia,-33.9309816,151.1540317,Fast Cities Australia (Evie Networks),8,Each charging station will be equipped with 4 Tritium PKM400 modular ultra-fast chargers. All 8 bays will charge up to 400kW.,47,2205,Metro,2,5
"634-726 Princes Hwy, Tempe NSW 2044, Australia",-33.9205155,151.1680627,Fast Cities Australia (Evie Networks),8,Each charging station will be equipped with 4 Tritium PKM400 modular ultra-fast chargers. All 8 bays will charge up to 400kW.,48,2044,Metro,2,5
"658 Terrigal Dr, Erina NSW 2250, Australia",-33.4365631,151.3921689,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,49,2250,Metro,2,5
"70 Preddys Rd, Bexley NSW 2207, Australia",-33.9494601,151.1150388,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,50,2207,Metro,2,5
"Avenue of Europe, Newington NSW 2127, Australia",-33.8343177,151.056414,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,51,2127,Metro,2,5
"Camden Valley Way & Somerset Avenue, Narellan NSW 2567, Australia",-33.9957228,150.7861984,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,52,2567,Metro,2,5
Campbell Pde Bondi Beach NSW 2026 Australia,-33.8897295,151.2797592,Fast Cities Australia (Evie Networks),8,Each charging station will be equipped with 4 Tritium PKM400 modular ultra-fast chargers. All 8 bays will charge up to 400kW.,53,2026,Metro,2,5
"Cnr Devlin St &, Blaxland Rd, Ryde NSW 2112, Australia",-33.8117042,151.1044474,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,54,2112,,2,5
"Cnr Swallow & Peppertree Drive, Erskine Park NSW 2759, Australia",-33.80397,150.79887,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,55,2759,Metro,2,5
"Corner Miller St & Amherst St, Cammeray NSW 2062, Australia",-33.82275,151.21017,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,56,2062,Metro,2,5
"Corner Mimosa and, Greenfield Rd, St Johns Park NSW 2176, Australia",-33.8721821,150.8894172,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,57,2176,Metro,2,5
"Molly Morgan Dr, East Maitland NSW 2323, Australia",-32.7629142,151.5943148,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,58,2323,Regional,2,100
Pitt St Merrylands NSW 2160 Australia,-33.826863,150.9942199,Fast Cities Australia (Evie Networks),8,Each charging station will be equipped with 4 Tritium PKM400 modular ultra-fast chargers. All 8 bays will charge up to 400kW.,59,2160,Metro,2,5
"29 Church St, Maitland NSW 2320, Australia",-32.732981,151.5535599,NRMA,4,Each charging bay will have a minimum of 400kW with the rated capacity of 350kW and 175kW chargers,60,2320,Regional,2,100
"37-39 Bong Bong Street, Dapto NSW 2023, Australia",-34.4940356,150.7915413,NRMA,4,Each charging bay will have a minimum of 400kW with the rated capacity of 350kW and 175kW chargers,61,2023,Metro,2,5
Alexander St Crows Nest NSW 2065 Australia,-33.8254711,151.2024328,NRMA,8,Each charging bay will have a minimum of 600kW with the rated minimum capacity of 350kW and 175kW chargers,62,2065,Metro,2,5
"Clarence St, Moss Vale NSW 2577, Australia",-34.548287,150.3736928,NRMA,4,Each charging bay will have a minimum of 400kW with the rated capacity of 350kW and 175kW chargers,63,2577,,2,10
14 Anzac Ave Fairfield NSW 2165 Australia,-33.8729153,150.9587919,Tesla,12,"Tesla Supercharger hardware, delivering  325kW+ to each charging stall",64,2165,Metro,2,5
"143 Terralong St, Kiama NSW 2533, Australia",-34.6669565,150.8502144,Tesla,10,"Tesla Supercharger hardware, delivering  325kW+ to each charging stall",65,2533,Regional,2,100
"45 Sydney St, Tarcutta NSW 2652, Australia",-35.2763435,147.7391752,Tesla,10,"Tesla Supercharger hardware, delivering  325kW+ to each charging stall",66,2652,Regional,2,100
"491 Masonite Rd, Heatherbrae NSW 2324, Australia",-32.7829979,151.7375668,Tesla,10,"Tesla Supercharger hardware, delivering  325kW+ to each charging stall",67,2324,,2,10
"Ewingsdale Rd, Byron Bay NSW 2481, Australia",-28.6379908,153.5846081,Tesla,10,"Tesla Supercharger hardware, delivering  325kW+ to each charging stall",68,2481,Regional,2,100
"Grafton St, Coffs Harbour NSW 2450, Australia",-30.2955762,153.1146113,Tesla,15,"Tesla Supercharger hardware, delivering  325kW+ to each charging stall",69,2450,Regional,2,100
"Ozone St, Chinderah NSW 2487, Australia",-28.2444054,153.5574467,Tesla,10,"Tesla Supercharger hardware, delivering  325kW+ to each charging stall",70,2487,Regional,2,100
"University of Wollongong, Northfields Avenue, Wollongong NSW 2522, Australia",-34.4079569,150.877135,University of Wollongong,6,"900kW of DC fast chargers consisting of two 360 kW chargers with dual plugs and one 180kW charger with dual plugs, and two 20kW AC charger plugs providing a total of 940kW charging capacity",71,2522,Metro,2,5
"1 Macquarie Pl, Haywards Bay NSW 2530, Australia",-34.5412709,150.7855617,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,72,2530,Metro,2,5
"113 Audley St, Narrandera NSW 2700, Australia",-34.747519,146.5501729,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,73,2700,Regional,2,100
"137 Kingsgrove Rd, Kingsgrove NSW 2208, Australia",-33.9327823,151.0990996,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,74,2208,Metro,2,5
"164 Williams St, Broken Hill NSW 2880, Australia",-31.9515484,141.4537889,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,75,2880,Regional,2,100
"179-181 Mona Vale Rd, St Ives NSW 2075, Australia",-33.731227,151.1575703,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,76,2075,Metro,2,5
"190 Princes Hwy, South Nowra NSW 2541, Australia",-34.9158698,150.6042208,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,77,2541,Regional,2,100
"213 Parramatta Rd, Five Dock NSW 2046, Australia",-33.8696192,151.1146067,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,78,2046,Metro,2,5
"241 Waterworth Dr, Mount Annan NSW 2567, Australia",-34.0494504,150.7603168,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,79,2567,Metro,2,5
"2-6 John St, Coonabarabran NSW 2357, Australia",-31.2770603,149.278355,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,80,2357,Regional,2,100
"26/30 King St, Warrawong NSW 2502, Australia",-34.4827956,150.8869332,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,81,2502,Metro,2,5
"277 Princes Hwy, Carlton NSW 2218, Australia",-33.9748325,151.1272474,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,82,2218,Metro,2,5
"34 Wharf St, Tweed Heads NSW 2485, Australia",-28.1732617,153.5431984,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,83,2485,Regional,2,100
"369 Pennant Hills Rd, Pennant Hills NSW 2120, Australia",-33.7386213,151.0737702,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,84,2120,Metro,2,5
"386 Pennant Hills Rd, Pennant Hills NSW 2120, Australia",-33.7393164,151.0679014,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,85,2120,Metro,2,5
"4 Balo St, Moree NSW 2400, Australia",-29.4608182,149.8419975,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,86,2400,Regional,2,100
"48 Gardeners Rd, Kingsford NSW 2032, Australia",-33.9250362,151.2257445,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,87,2032,Metro,2,5
"4974 Pacific Hwy, Halfway Creek NSW 2460, Australia",-29.9348834,153.0947952,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,88,2460,,2,10
"593 Main Rd, Glendale NSW 2285, Australia",-32.9270808,151.638061,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,89,2285,Metro,2,5
"611 Great Western Hwy, Eastern Creek NSW 2766, Australia",-33.7926872,150.8707492,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,90,2766,Metro,2,5
"63 Maud St, Mayfield West NSW 2304, Australia",-32.893696,151.7220716,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,91,2304,Metro,2,5
"665-671 Warringah Rd, Forestville NSW 2087, Australia",-33.7603233,151.2186117,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,92,2087,Metro,2,5
"797 Pacific Hwy, Belmont South NSW 2280, Australia",-33.0509682,151.6552891,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,93,2280,Metro,2,5
"867-869 South Dowling St, Waterloo NSW 2017, Australia",-33.9017062,151.214429,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,94,2017,Metro,2,5
"88 Victoria Rd, North Parramatta NSW 2151, Australia",-33.8087285,151.0124787,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,95,2151,Metro,2,5
"9-11 Roberts Rd, Greenacre NSW 2190, Australia",-33.8943853,151.0667287,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,96,2190,Metro,2,5
"96 Wicks Rd, North Ryde NSW 2113, Australia",-33.7939924,151.1269164,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,97,2113,Metro,2,5
"Crn Avoca Dr & Bungoona Rd, Kincumber NSW 2251, Australia",-33.46753,151.3801,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,98,2251,Metro,2,5
"Crn Cowpasture Road & Green Valley Rd, Green Valley NSW 2168, Australia",-33.8929448,150.8580157,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,99,2168,Metro,2,5
"Crn Mid Western Hwy & Nicholson Ln, West Wyalong NSW 2671, Australia",-33.9221846,147.2006745,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,100,2671,Regional,2,100
"Crn Old Hume Hwy & Balaclava St, Mittagong NSW 2575, Australia",-34.3332904,150.5586493,Viva Energy,4,2 bays can be serviced by 350kW (CCS2) charging station and 2 bays can be services by 150kW (CCS2) charging station,101,2575,Regional,2,100
